game_id,game_type,player_id,player_name,player_role,number_of_votes,target_votes,times_spoken,average_utterance_length,accusation_influence,accusation_influence_on_votes,num_accusations,times_accused
game_play_20240629_225937,1w_claude_on_claude,2,Marius,Villager,0,3,3,361.6666666666667,0.1388888888888888,3.0,3,2
game_play_20240629_225937,1w_claude_on_claude,3,Selene,Werewolf,0,2,1,316.0,0.0,2.0,1,1
game_play_20240629_225937,1w_claude_on_claude,4,Lucian,Seer,2,3,4,312.5,0.2476190476190476,2.25,4,5
game_play_20240629_230537,1w_claude_on_claude,0,Alexandra,Villager,0,3,4,238.75,0.0767359575409111,0.75,4,5
game_play_20240629_230537,1w_claude_on_claude,1,Semira,Seer,2,3,5,248.6,0.1941841491841492,0.6,5,4
game_play_20240629_230537,1w_claude_on_claude,2,Emil,Mason,3,2,2,304.0,0.0555555555555555,1.0,2,2
game_play_20240629_230537,1w_claude_on_claude,3,Michael,Werewolf,0,3,5,400.2,0.0983333333333333,0.0,5,4
game_play_20240629_230537,1w_claude_on_claude,4,Vladimir,Mason,0,2,4,268.5,0.1202380952380952,1.5,4,5
game_play_20240629_230830,1w_claude_on_claude,0,Dracula,Villager,0,3,2,151.0,0.3746867167919799,3.0,2,2
game_play_20240629_230830,1w_claude_on_claude,1,Lucian,Villager,3,2,8,269.625,0.2876999736374736,1.25,8,9
game_play_20240629_230830,1w_claude_on_claude,2,Selene,Werewolf,0,2,3,463.6666666666667,0.2287581699346405,2.6666666666666665,3,2
game_play_20240629_230830,1w_claude_on_claude,3,Viktor,Mason,2,3,6,347.1666666666667,0.1434523809523809,2.5,6,7
game_play_20240629_230830,1w_claude_on_claude,4,Semira,Minion,0,3,1,667.0,0.25,2.0,1,0
game_play_20240629_231128,1w_claude_on_claude,0,Alexia,Villager,4,1,8,304.0,0.3377731734639629,0.875,8,6
game_play_20240629_231128,1w_claude_on_claude,1,Alexandra,Werewolf,0,4,2,328.0,0.1176470588235294,2.0,2,3
game_play_20240629_231128,1w_claude_on_claude,2,Emil,Minion,0,4,3,514.0,0.1888888888888888,0.3333333333333333,3,1
game_play_20240629_231128,1w_claude_on_claude,3,Kraven,Mason,1,4,5,263.0,0.1933333333333333,4.0,5,10
game_play_20240629_231128,1w_claude_on_claude,4,Andrei,Mason,0,4,2,257.0,0.3611111111111111,1.0,2,0
game_play_20240629_231424,1w_claude_on_claude,0,Emil,Villager,0,3,4,206.75,0.2892387218045112,1.5,4,4
game_play_20240629_231424,1w_claude_on_claude,1,Kraven,Werewolf,0,2,6,335.5,0.1352061337355455,1.1666666666666667,6,6
game_play_20240629_231424,1w_claude_on_claude,2,Andrei,Villager,2,3,4,270.0,0.1354166666666666,1.5,4,3
game_play_20240629_231424,1w_claude_on_claude,3,Alexia,Mason,0,3,2,259.5,0.0357142857142857,0.0,2,2
game_play_20240629_231424,1w_claude_on_claude,4,Radu,Minion,3,2,4,464.0,0.0912698412698412,0.5,4,5
game_play_20240629_231719,1w_claude_on_claude,0,Stefan,Werewolf,4,1,7,398.1428571428572,0.1009919757376634,0.4285714285714285,7,6
game_play_20240629_231719,1w_claude_on_claude,1,Lucian,Villager,0,4,3,251.0,0.1574074074074074,2.6666666666666665,3,4
game_play_20240629_231719,1w_claude_on_claude,2,Larisa,Mason,0,4,0,0.0,0.0,0.0,0,0
game_play_20240629_231719,1w_claude_on_claude,3,Radu,Villager,1,4,6,295.1666666666667,0.1713480963480963,2.0,6,6
game_play_20240629_231719,1w_claude_on_claude,4,Emil,Mason,0,4,4,324.0,0.2953869047619047,1.75,4,4
game_play_20240629_232026,1w_claude_on_claude,0,Mircea,Villager,0,4,4,244.75,0.1733630952380952,0.25,3,4
game_play_20240629_232026,1w_claude_on_claude,1,Michael,Werewolf,4,1,7,351.1428571428572,0.1920068027210884,0.1428571428571428,7,4
game_play_20240629_232026,1w_claude_on_claude,2,Ileana,Mason,0,4,7,295.1428571428572,0.098255030143575,2.2857142857142856,7,7
game_play_20240629_232026,1w_claude_on_claude,3,Andrei,Seer,1,4,1,286.0,0.0,0.0,0,3
game_play_20240629_232026,1w_claude_on_claude,4,Marius,Villager,0,4,1,325.0,0.5,1.0,1,0
game_play_20240629_232331,1w_claude_on_claude,0,Kraven,Villager,0,2,5,269.8,0.1969629957246056,1.4,5,5
game_play_20240629_232331,1w_claude_on_claude,1,Cristina,Mason,3,2,3,325.6666666666667,0.1448412698412698,0.0,3,3
game_play_20240629_232331,1w_claude_on_claude,2,Viktor,Villager,0,3,3,270.6666666666667,0.1333333333333333,1.3333333333333333,3,4
game_play_20240629_232331,1w_claude_on_claude,3,Michael,Minion,0,3,3,469.6666666666667,0.1434343434343434,2.6666666666666665,3,3
game_play_20240629_232331,1w_claude_on_claude,4,Ileana,Werewolf,2,3,6,449.0,0.0763888888888888,0.0,6,5
game_play_20240629_232637,1w_claude_on_claude,0,Alexia,Seer,1,4,5,305.0,0.1396825396825396,2.4,5,4
game_play_20240629_232637,1w_claude_on_claude,1,Viktor,Werewolf,4,1,7,436.0,0.1282028600914049,0.2857142857142857,7,8
game_play_20240629_232637,1w_claude_on_claude,2,Alexandra,Mason,0,4,2,235.0,0.3205128205128205,4.0,2,3
game_play_20240629_232637,1w_claude_on_claude,3,Dragos,Mason,0,4,4,346.0,0.1309523809523809,1.5,4,2
game_play_20240629_232637,1w_claude_on_claude,4,Ileana,Villager,0,4,2,218.0,0.1363636363636363,4.0,2,3
game_play_20240629_232939,1w_claude_on_claude,0,Andrei,Minion,4,1,9,431.0,0.1513888206354666,0.5555555555555556,9,9
game_play_20240629_232939,1w_claude_on_claude,1,Alexandra,Werewolf,0,4,2,479.5,0.1875,4.0,2,1
game_play_20240629_232939,1w_claude_on_claude,2,Lucian,Seer,1,4,4,303.5,0.2540064102564102,3.0,4,6
game_play_20240629_232939,1w_claude_on_claude,3,Viktor,Villager,0,4,3,297.0,0.3538720538720539,3.0,3,4
game_play_20240629_232939,1w_claude_on_claude,4,Selene,Villager,0,4,2,354.0,0.2916666666666666,4.0,2,0
game_play_20240629_233251,1w_claude_on_claude,0,Dracula,Minion,0,4,7,478.8571428571428,0.1373523093447905,1.1428571428571428,7,7
game_play_20240629_233251,1w_claude_on_claude,1,Vladimir,Mason,1,4,6,281.8333333333333,0.1745143745143745,0.6666666666666666,6,5
game_play_20240629_233251,1w_claude_on_claude,2,Lucian,Mason,0,4,3,272.0,0.2336601307189542,0.3333333333333333,3,4
game_play_20240629_233251,1w_claude_on_claude,3,Viktor,Seer,4,1,2,280.0,0.0714285714285714,0.0,2,4
game_play_20240629_233251,1w_claude_on_claude,4,Alexandra,Werewolf,0,4,2,429.0,0.55,4.0,2,0
game_play_20240629_233558,1w_claude_on_claude,0,Stefan,Werewolf,0,2,3,359.3333333333333,0.2103174603174603,2.0,3,2
game_play_20240629_233558,1w_claude_on_claude,1,Alexia,Villager,1,2,4,303.0,0.1375,1.5,4,3
game_play_20240629_233558,1w_claude_on_claude,2,Radu,Mason,2,2,5,320.2,0.208531746031746,1.2,5,4
game_play_20240629_233558,1w_claude_on_claude,3,Dracula,Minion,0,1,2,428.5,0.1608391608391608,2.0,2,1
game_play_20240629_233558,1w_claude_on_claude,4,Dragos,Seer,2,2,6,271.3333333333333,0.1488562091503268,1.1666666666666667,5,9
game_play_20240629_233909,1w_claude_on_claude,0,Lucian,Minion,1,1,5,357.0,0.094671974052779,1.0,5,3
game_play_20240629_233909,1w_claude_on_claude,1,Marius,Villager,1,3,4,260.25,0.228525641025641,1.75,4,3
game_play_20240629_233909,1w_claude_on_claude,2,Dracula,Werewolf,3,1,5,378.0,0.0585858585858585,0.2,5,7
game_play_20240629_233909,1w_claude_on_claude,3,Emil,Seer,0,3,3,218.3333333333333,0.4150793650793651,3.0,3,5
game_play_20240629_233909,1w_claude_on_claude,4,Cristina,Villager,0,3,3,209.0,0.1435185185185185,1.6666666666666667,3,2
game_play_20240629_234216,1w_claude_on_claude,0,Michael,Seer,4,1,7,351.7142857142857,0.0774583517617573,0.4285714285714285,6,10
game_play_20240629_234216,1w_claude_on_claude,1,Dracula,Mason,0,4,5,315.8,0.4663888888888888,4.0,5,4
game_play_20240629_234216,1w_claude_on_claude,2,Ileana,Minion,0,4,2,463.0,0.3153846153846154,2.5,2,1
game_play_20240629_234216,1w_claude_on_claude,3,Alexandra,Villager,1,4,5,335.0,0.275036075036075,2.4,5,4
game_play_20240629_234216,1w_claude_on_claude,4,Alexia,Werewolf,0,4,1,364.0,0.0,4.0,1,0
game_play_20240629_234518,1w_claude_on_claude,0,Ileana,Villager,0,4,3,216.3333333333333,0.1492063492063492,1.3333333333333333,3,2
game_play_20240629_234518,1w_claude_on_claude,1,Marius,Werewolf,0,4,2,265.0,0.2602941176470588,2.0,2,2
game_play_20240629_234518,1w_claude_on_claude,2,Andrei,Mason,0,4,3,325.0,0.1388888888888889,3.0,3,2
game_play_20240629_234518,1w_claude_on_claude,3,Michael,Mason,4,1,7,326.0,0.1483865341008198,0.5714285714285714,7,9
game_play_20240629_234518,1w_claude_on_claude,4,Larisa,Seer,1,4,5,292.0,0.3648809523809523,4.0,5,5
game_play_20240629_234810,1w_claude_on_claude,0,Semira,Mason,0,3,3,183.66666666666663,0.2884294068504595,1.6666666666666667,3,2
game_play_20240629_234810,1w_claude_on_claude,1,Dragos,Werewolf,0,1,3,418.0,0.0972222222222222,1.6666666666666667,3,1
game_play_20240629_234810,1w_claude_on_claude,2,Stefan,Mason,1,3,3,265.0,0.1595238095238095,1.0,3,6
game_play_20240629_234810,1w_claude_on_claude,3,Lucian,Minion,3,1,7,472.2857142857143,0.1265306122448979,0.8571428571428571,7,7
game_play_20240629_234810,1w_claude_on_claude,4,Radu,Villager,1,3,4,278.75,0.3395833333333333,3.0,4,4
game_play_20240629_235118,1w_claude_on_claude,0,Larisa,Werewolf,0,4,3,325.6666666666667,0.3529657477025898,2.6666666666666665,3,3
game_play_20240629_235118,1w_claude_on_claude,1,Radu,Mason,0,4,2,300.0,0.2598039215686274,2.5,2,5
game_play_20240629_235118,1w_claude_on_claude,2,Lucian,Villager,4,1,7,331.85714285714283,0.0632936507936507,0.2857142857142857,7,8
game_play_20240629_235118,1w_claude_on_claude,3,Alexandra,Villager,0,4,3,274.0,0.1777777777777777,2.6666666666666665,3,1
game_play_20240629_235118,1w_claude_on_claude,4,Ileana,Minion,1,4,5,467.2,0.2931623931623931,2.4,5,3
game_play_20240629_235423,1w_claude_on_claude,0,Viktor,Villager,4,1,10,275.1,0.1489627812847626,0.5,10,9
game_play_20240629_235423,1w_claude_on_claude,1,Mircea,Mason,0,4,2,205.5,0.4142857142857142,4.0,2,4
game_play_20240629_235423,1w_claude_on_claude,2,Radu,Villager,1,4,6,309.8333333333333,0.2958333333333333,4.0,6,5
game_play_20240629_235423,1w_claude_on_claude,3,Vladimir,Seer,0,4,2,344.0,0.2465277777777778,2.0,2,2
game_play_20240629_235423,1w_claude_on_claude,4,Michael,Werewolf,0,4,0,0.0,0.0,0.0,0,0
game_play_20240629_235717,1w_claude_on_claude,0,Mircea,Villager,3,2,8,244.875,0.0952223124098124,0.75,8,7
game_play_20240629_235717,1w_claude_on_claude,1,Vladimir,Mason,0,3,2,199.0,0.075,0.0,2,3
game_play_20240629_235717,1w_claude_on_claude,2,Emil,Villager,2,3,4,267.25,0.2625,3.0,4,4
game_play_20240629_235717,1w_claude_on_claude,3,Larisa,Mason,0,3,4,202.25,0.2424188298801302,2.0,4,4
game_play_20240629_235717,1w_claude_on_claude,4,Radu,Werewolf,0,2,2,343.0,0.0,1.5,2,2
game_play_20240629_235956,1w_claude_on_claude,0,Emil,Mason,0,3,5,298.6,0.1166666666666666,2.2,4,4
game_play_20240629_235956,1w_claude_on_claude,1,Alexandra,Minion,0,3,2,465.5,0.2138888888888889,1.0,2,2
game_play_20240629_235956,1w_claude_on_claude,2,Semira,Villager,0,2,2,316.0,0.2321428571428571,2.0,2,2
game_play_20240629_235956,1w_claude_on_claude,3,Alexia,Werewolf,2,3,7,498.8571428571428,0.1574260326140025,0.8571428571428571,7,6
game_play_20240629_235956,1w_claude_on_claude,4,Vladimir,Villager,3,2,4,364.25,0.1166666666666666,1.0,4,5
game_play_20240630_000306,1w_claude_on_claude,0,Dracula,Werewolf,0,4,5,350.0,0.1875953252114242,0.2,5,3
game_play_20240630_000306,1w_claude_on_claude,1,Semira,Mason,0,4,1,260.0,0.1,0.0,1,3
game_play_20240630_000306,1w_claude_on_claude,2,Marius,Villager,1,4,6,327.8333333333333,0.1983618233618233,2.0,6,4
game_play_20240630_000306,1w_claude_on_claude,3,Alexia,Mason,0,4,3,359.6666666666667,0.1111111111111111,1.3333333333333333,3,6
game_play_20240630_000306,1w_claude_on_claude,4,Emil,Minion,4,1,5,510.0,0.0678571428571428,0.6,5,4
game_play_20240630_000614,1w_claude_on_claude,0,Ileana,Seer,4,1,6,282.3333333333333,0.0464703425229741,0.1666666666666666,5,11
game_play_20240630_000614,1w_claude_on_claude,1,Larisa,Villager,1,4,5,242.2,0.2277777777777777,2.4,5,2
game_play_20240630_000614,1w_claude_on_claude,2,Selene,Werewolf,0,4,3,280.6666666666667,0.3431372549019607,4.0,3,2
game_play_20240630_000614,1w_claude_on_claude,3,Lucian,Villager,0,4,4,299.75,0.3456876456876457,3.25,4,3
game_play_20240630_000614,1w_claude_on_claude,4,Cristina,Villager,0,4,2,305.0,0.4365079365079365,4.0,2,1
game_play_20240630_000909,1w_claude_on_claude,0,Mircea,Werewolf,4,1,10,451.7,0.1095735636912107,0.2,10,8
game_play_20240630_000909,1w_claude_on_claude,1,Alexandra,Villager,1,4,2,356.0,0.175,4.0,2,2
game_play_20240630_000909,1w_claude_on_claude,2,Alexia,Mason,0,4,4,355.5,0.2255952380952381,3.0,4,3
game_play_20240630_000909,1w_claude_on_claude,3,Lucian,Villager,0,4,3,293.0,0.2986111111111111,4.0,3,3
game_play_20240630_000909,1w_claude_on_claude,4,Ileana,Seer,0,4,1,393.0,0.0,0.0,1,4
game_play_20240630_001219,1w_claude_on_claude,0,Michael,Seer,0,3,5,303.8,0.1060714285714285,1.2,4,9
game_play_20240630_001219,1w_claude_on_claude,1,Dragos,Villager,0,2,2,210.0,0.3944444444444445,0.0,2,1
game_play_20240630_001219,1w_claude_on_claude,2,Radu,Villager,3,2,6,309.3333333333333,0.1864944695827048,0.3333333333333333,6,4
game_play_20240630_001219,1w_claude_on_claude,3,Lucian,Werewolf,2,3,4,455.0,0.0982142857142857,1.5,4,2
game_play_20240630_001219,1w_claude_on_claude,4,Alexia,Minion,0,3,3,512.6666666666666,0.1877104377104377,0.6666666666666666,3,3
game_play_20240630_001529,1w_claude_on_claude,0,Stefan,Mason,0,3,2,239.0,0.1553884711779448,1.5,2,4
game_play_20240630_001529,1w_claude_on_claude,1,Radu,Seer,3,2,8,267.25,0.1766865079365079,0.75,8,6
game_play_20240630_001529,1w_claude_on_claude,2,Emil,Villager,2,3,5,231.8,0.1047397047397047,1.8,5,5
game_play_20240630_001529,1w_claude_on_claude,3,Michael,Werewolf,0,2,3,355.6666666666667,0.0666666666666666,2.333333333333333,3,3
game_play_20240630_001529,1w_claude_on_claude,4,Dracula,Mason,0,3,2,215.5,0.1627450980392157,1.5,2,2
game_play_20240630_001817,1w_claude_on_claude,0,Michael,Villager,0,2,3,189.3333333333333,0.2613887660327289,2.0,3,6
game_play_20240630_001817,1w_claude_on_claude,1,Ileana,Mason,0,3,1,218.0,0.1333333333333333,0.0,1,0
game_play_20240630_001817,1w_claude_on_claude,2,Lucian,Mason,2,3,7,250.7142857142857,0.1940034172177029,0.8571428571428571,7,7
game_play_20240630_001817,1w_claude_on_claude,3,Vladimir,Seer,3,2,5,247.4,0.1442857142857142,0.8,5,4
game_play_20240630_001817,1w_claude_on_claude,4,Kraven,Werewolf,0,3,4,441.25,0.09375,2.5,4,3
game_play_20240630_002107,1w_claude_on_claude,0,Dragos,Villager,4,1,6,344.1666666666667,0.1199134199134199,0.5,6,4
game_play_20240630_002107,1w_claude_on_claude,1,Semira,Werewolf,1,4,4,386.5,0.094298245614035,2.0,4,4
game_play_20240630_002107,1w_claude_on_claude,2,Selene,Villager,0,4,4,343.75,0.1791666666666666,2.0,4,2
game_play_20240630_002107,1w_claude_on_claude,3,Radu,Seer,0,4,3,317.6666666666667,0.1488095238095238,0.0,3,4
game_play_20240630_002107,1w_claude_on_claude,4,Vladimir,Mason,0,4,3,313.0,0.1383609854198089,0.3333333333333333,3,6
game_play_20240630_002405,1w_claude_on_claude,0,Kraven,Villager,4,1,6,258.8333333333333,0.1222342472342472,0.5,6,5
game_play_20240630_002405,1w_claude_on_claude,1,Stefan,Werewolf,0,4,6,433.1666666666667,0.1793320105820105,1.6666666666666667,6,5
game_play_20240630_002405,1w_claude_on_claude,2,Andrei,Minion,0,4,3,376.3333333333333,0.0526315789473684,1.3333333333333333,3,3
game_play_20240630_002405,1w_claude_on_claude,3,Marius,Mason,0,4,1,361.0,0.1176470588235294,0.0,1,2
game_play_20240630_002405,1w_claude_on_claude,4,Viktor,Mason,1,4,4,309.5,0.1567307692307692,2.0,4,5
game_play_20240630_003002,1w_claude_on_claude,0,Lucian,Minion,0,2,5,443.0,0.1434837092731829,1.2,5,6
game_play_20240630_003002,1w_claude_on_claude,1,Dragos,Villager,2,3,4,300.0,0.2458333333333333,1.5,4,5
game_play_20240630_003002,1w_claude_on_claude,2,Kraven,Mason,0,3,4,255.0,0.1031468531468531,0.75,3,2
game_play_20240630_003002,1w_claude_on_claude,3,Stefan,Werewolf,3,2,5,441.8,0.1,0.8,5,5
game_play_20240630_003002,1w_claude_on_claude,4,Michael,Villager,0,3,2,301.0,0.2176470588235294,3.0,2,1
game_play_20240630_003313,1w_claude_on_claude,0,Kraven,Villager,0,3,5,227.2,0.1443001443001443,2.4,5,5
game_play_20240630_003313,1w_claude_on_claude,1,Michael,Mason,2,3,4,274.5,0.2037796697626419,2.25,4,4
game_play_20240630_003313,1w_claude_on_claude,2,Viktor,Seer,3,2,8,303.75,0.1302083333333333,0.5,8,7
game_play_20240630_003313,1w_claude_on_claude,3,Ileana,Werewolf,0,2,2,571.0,0.125,1.0,2,2
game_play_20240630_003313,1w_claude_on_claude,4,Semira,Mason,0,3,1,341.0,0.0714285714285714,2.0,1,2
game_play_20240630_003615,1w_claude_on_claude,0,Mircea,Werewolf,0,4,1,239.0,0.2857142857142857,4.0,1,0
game_play_20240630_003615,1w_claude_on_claude,1,Marius,Seer,0,4,4,250.25,0.185515873015873,3.0,3,6
game_play_20240630_003615,1w_claude_on_claude,2,Viktor,Villager,4,1,9,273.1111111111111,0.1696156211636087,0.3333333333333333,9,7
game_play_20240630_003615,1w_claude_on_claude,3,Lucian,Mason,0,4,3,271.6666666666667,0.2194444444444444,1.6666666666666667,3,2
game_play_20240630_003615,1w_claude_on_claude,4,Ileana,Villager,1,4,3,321.3333333333333,0.0666666666666666,2.6666666666666665,3,4
game_play_20240630_003912,1w_claude_on_claude,0,Ileana,Werewolf,0,2,5,364.0,0.2799999999999999,2.6,5,5
game_play_20240630_003912,1w_claude_on_claude,1,Dracula,Seer,3,2,6,289.1666666666667,0.1476330343203408,0.3333333333333333,6,8
game_play_20240630_003912,1w_claude_on_claude,2,Selene,Villager,0,3,3,186.66666666666663,0.1994047619047619,2.0,3,1
game_play_20240630_003912,1w_claude_on_claude,3,Lucian,Villager,0,3,3,320.6666666666667,0.1325757575757575,2.6666666666666665,3,2
game_play_20240630_003912,1w_claude_on_claude,4,Stefan,Mason,2,3,3,278.0,0.1222222222222222,1.0,3,4
game_play_20240630_004207,1w_claude_on_claude,0,Marius,Werewolf,4,1,9,336.8888888888889,0.1152681511814638,0.2222222222222222,9,8
game_play_20240630_004207,1w_claude_on_claude,1,Alexandra,Villager,0,4,3,229.66666666666663,0.3319444444444444,4.0,3,4
game_play_20240630_004207,1w_claude_on_claude,2,Andrei,Seer,1,4,4,299.0,0.09375,2.0,4,3
game_play_20240630_004207,1w_claude_on_claude,3,Emil,Villager,0,4,3,224.3333333333333,0.2452380952380952,4.0,3,3
game_play_20240630_004207,1w_claude_on_claude,4,Viktor,Villager,0,4,1,234.0,0.0,1.0,1,2
game_play_20240630_004508,1w_claude_on_claude,0,Emil,Seer,4,1,5,309.4,0.0328173374613003,0.6,4,10
game_play_20240630_004508,1w_claude_on_claude,1,Semira,Mason,1,4,4,229.75,0.4401289682539682,4.0,4,3
game_play_20240630_004508,1w_claude_on_claude,2,Stefan,Villager,0,4,2,178.0,0.3286713286713286,2.0,2,1
game_play_20240630_004508,1w_claude_on_claude,3,Alexia,Werewolf,0,4,5,389.8,0.1966666666666666,3.2,5,4
game_play_20240630_004508,1w_claude_on_claude,4,Selene,Mason,0,4,4,361.5,0.2047619047619047,1.0,4,1
game_play_20240630_005106,1w_claude_on_claude,0,Cristina,Villager,1,4,4,306.75,0.1452380952380952,3.0,3,5
game_play_20240630_005106,1w_claude_on_claude,1,Lucian,Werewolf,0,4,4,422.75,0.2380151098901098,2.25,4,2
game_play_20240630_005106,1w_claude_on_claude,2,Semira,Seer,0,4,3,250.0,0.1212121212121212,1.3333333333333333,2,3
game_play_20240630_005106,1w_claude_on_claude,3,Stefan,Minion,4,1,8,380.875,0.1119711042311661,0.5,8,7
game_play_20240630_005106,1w_claude_on_claude,4,Dragos,Mason,0,4,1,472.0,0.3333333333333333,4.0,1,1
game_play_20240630_005415,1w_claude_on_claude,0,Marius,Villager,1,4,4,196.5,0.3589119858469703,4.0,4,4
game_play_20240630_005415,1w_claude_on_claude,1,Semira,Villager,4,1,8,234.0,0.0687251984126984,0.5,8,9
game_play_20240630_005415,1w_claude_on_claude,2,Lucian,Villager,0,4,3,253.66666666666663,0.2675472675472675,4.0,3,3
game_play_20240630_005415,1w_claude_on_claude,3,Emil,Minion,0,4,3,416.6666666666667,0.1142857142857142,1.3333333333333333,3,2
game_play_20240630_005415,1w_claude_on_claude,4,Alexia,Werewolf,0,4,2,558.0,0.125,2.0,2,2
game_play_20240630_005703,1w_claude_on_claude,0,Viktor,Seer,4,1,8,356.125,0.0754887930052403,0.375,8,12
game_play_20240630_005703,1w_claude_on_claude,1,Mircea,Mason,1,4,5,323.2,0.5211111111111111,4.0,5,3
game_play_20240630_005703,1w_claude_on_claude,2,Ileana,Villager,0,4,4,296.75,0.5074445162680457,4.0,4,2
